suburb,state,latitude,longitude
Yellow Rock,NSW,-33.6985,150.6346
Sun Valley,NSW,-33.7088,150.5937
Hawkesbury Heights,NSW,-33.6657,150.6426
Springwood,NSW,-33.7,150.55
Winmalee,NSW,-33.6785,150.6121
Valley Heights,NSW,-33.7,150.5833
Woodford,NSW,-33.7333,150.4833
Linden,NSW,-33.7167,150.5
Hazelbrook,NSW,-33.7245,150.4584
Yosemite,NSW,-33.7037,150.3065
Katoomba Dc,NSW,-33.7037,150.3065
Leura,NSW,-33.7167,150.3333
Katoomba,NSW,-33.7198,150.3074
Medlow Bath,NSW,-33.6746,150.2788
Wentworth Falls,NSW,-33.7103,150.3753
Lawson,NSW,-33.7206,150.4297
Bullaburra,NSW,-33.7292,150.4177
Mount Werong,NSW,-33.754,150.0055
Gurnang,NSW,-33.754,150.0055
Mayfield,NSW,-32.8979,151.7361
Beloon,NSW,-33.754,150.0055
Bimlow,NSW,-33.754,150.0055
Bindook,NSW,-33.754,150.0055
Tarana,NSW,-33.5167,149.9167
Brereton,NSW,-33.754,150.0055
The Meadows,NSW,-33.754,150.0055
Jooriland,NSW,-33.754,150.0055
Black Springs,NSW,-33.8667,149.7167
Mount Olive,NSW,-33.754,150.0055
Kedumba,NSW,-33.754,150.0055
Kowmung,NSW,-33.754,150.0055
Shooters Hill,NSW,-33.9167,149.8667
Yerranderie,NSW,-34.1167,150.2167
Chatham Valley,NSW,-33.754,150.0055
Mozart,NSW,-33.8269,149.8259
Oberon,NSW,-33.704,149.8591
Jaunter,NSW,-33.9802,149.8876
Kanangra,NSW,-33.754,150.0055
Edith,NSW,-33.8,149.9167
Porters Retreat,NSW,-34.0,149.8167
Essington,NSW,-33.7,149.7167
Gingkin,NSW,-33.8667,149.9333
Hazelgrove,NSW,-33.6557,149.898
Norway,NSW,-33.765,149.816
Duckmaloi,NSW,-33.6975,149.9594
Marrangaroo,NSW,-33.4333,150.1167
Hassans Walls,NSW,-33.5064,150.1567
South Littleton,NSW,-33.5006,150.1373
Cobar Park,NSW,-33.4647,150.1577
Pottery Estate,NSW,-33.4877,150.1579
Wolgan Valley,NSW,-33.229,150.1883
Bowenfels,NSW,-33.5167,150.1167
Mckellars Park,NSW,-33.47,150.1527
Jenolan Caves,NSW,-33.8167,150.0333
Cullen Bullen,NSW,-33.2989,150.0328
Clarence,NSW,-33.4723,150.222
Newnes,NSW,-33.1833,150.25
Hampton,NSW,-33.65,150.05
Hermitage Flat,NSW,-33.477,150.1459
Oaky Park,NSW,-33.463,150.1851
Newnes Plateau,NSW,-33.4462,150.1227
Ganbenang,NSW,-33.6546,150.128
Jenolan,NSW,-33.8238,150.0051
Sheedys Gully,NSW,-33.4963,150.152
Corney Town,NSW,-33.4755,150.1771
Hartley Vale,NSW,-33.5333,150.2333
Good Forest,NSW,-33.5855,150.12
Morts Estate,NSW,-33.4678,150.1689
Oakey Park,NSW,-33.463,150.1851
Doctors Gap,NSW,-33.4922,150.1798
Sodwalls,NSW,-33.5167,149.9833
Hartley,NSW,-33.5465,150.1757
Lidsdale,NSW,-33.3536,150.118
State Mine Gully,NSW,-33.4603,150.1682
South Bowenfels,NSW,-33.5167,150.1167
Vale Of Clwydd,NSW,-33.486,150.1839
Wollangambe,NSW,-33.4462,150.1227
Kanimbla,NSW,-33.4462,150.1227
Blackmans Flat,NSW,-33.3656,150.0651
Little Hartley,NSW,-33.5881,150.1972
Lithgow Dc,NSW,-33.4462,150.1227
Mount Lambie,NSW,-33.4496,149.9892
Rydal,NSW,-33.4833,150.0333
Lithgow,NSW,-33.4845,150.149
Lowther,NSW,-33.6143,150.1439
Littleton,NSW,-33.5006,150.1373
Ben Bullen,NSW,-33.2167,150.0333
Springvale,NSW,-31.8595,149.8401
Northern Suburbs Mc,NSW,-33.8419,151.1935
New England Mc,NSW,-31.0904,150.7649
Noona,NSW,-32.1818,146.2218
Cobar,NSW,-31.4967,145.8344
Gilgunnia,NSW,-32.415,146.0354
Canbelego,NSW,-31.5596,146.3213
Kerrigundi,NSW,-31.0088,145.2782
Cubba,NSW,-32.1818,146.2218
Tindarey,NSW,-32.1818,146.2218
Sandy Creek,NSW,-32.1818,146.2218
Kulwin,NSW,-32.1818,146.2218
Lerida,NSW,-32.1818,146.2218
Irymple,NSW,-32.4911,145.6049
Bulla,NSW,-34.1196,148.2567
Lansdale,NSW,-32.2304,147.1756
Miamley,NSW,-32.2748,147.3438
