suburb,state,assigned_region
Riverglades,South Australia,South Australia - South East
Riverglen,South Australia,South Australia - South East
Riverton (SA),South Australia,Barossa - Yorke - Mid North
Robe,,
Robertstown,South Australia,Barossa - Yorke - Mid North
Rochester (SA),South Australia,Barossa - Yorke - Mid North
Rockleigh,,
Rocky Camp,South Australia,South Australia - South East
Rocky Gully (SA),South Australia,South Australia - South East
Rocky Plain (SA),South Australia,Barossa - Yorke - Mid North
Rocky Point (SA),South Australia,South Australia - South East
Rogues Point,,
Rose Park,South Australia,Adelaide - Central and Hills
Rosedale (SA),,
Rosetown,,
Rosewater,South Australia,Adelaide - West
Roseworthy,,
Rosslyn Park,South Australia,Adelaide - Central and Hills
Rostrevor,South Australia,Adelaide - Central and Hills
Rowland Flat,South Australia,Barossa - Yorke - Mid North
Roxby Downs,South Australia,South Australia - Outback
Royal Park,South Australia,Adelaide - West
Royston Park,South Australia,Adelaide - Central and Hills
Rudall,South Australia,South Australia - Outback
SA Remainder,South Australia,South Australia - Outback
Saddleworth,South Australia,Barossa - Yorke - Mid North
Saints,South Australia,Barossa - Yorke - Mid North
Salisbury (SA),South Australia,Adelaide - North
Salisbury Downs,South Australia,Adelaide - North
Salisbury East,South Australia,Adelaide - North
Salisbury Heights,South Australia,Adelaide - North
Salisbury North,South Australia,Adelaide - North
Salisbury Park,South Australia,Adelaide - North
Salisbury Plain,South Australia,Adelaide - North
Salisbury South,South Australia,Adelaide - North
Salt Creek,South Australia,South Australia - South East
Salter Springs,South Australia,Barossa - Yorke - Mid North
Saltia,,
Sampson Flat,,
Sandalwood,South Australia,South Australia - South East
Sandergrove,South Australia,South Australia - South East
Sanderston,South Australia,South Australia - South East
Sandilands (SA),,
Sandleton,South Australia,South Australia - South East
Sandy Creek (SA),,
Sandy Grove,,
Sapphiretown,,
Sceale Bay,,
Schell Well,South Australia,South Australia - South East
Scott Creek,,
Seacliff,,
Seacliff Park,South Australia,Adelaide - South
Seacombe Gardens,South Australia,Adelaide - South
Seacombe Heights,South Australia,Adelaide - South
Seaford (SA),,
Seaford Heights,South Australia,Adelaide - South
Seaford Meadows,South Australia,Adelaide - South
Seaford Rise,South Australia,Adelaide - South
Seal Bay,,
Seaton (SA),South Australia,Adelaide - West
Seaview Downs,South Australia,Adelaide - South
Sebastopol (SA),South Australia,South Australia - South East
Second Valley,,
Sedan,South Australia,South Australia - South East
Seddon (SA),South Australia,South Australia - South East
Sefton Park,,
Sellicks Beach,,
Sellicks Hill,,
Semaphore,,
Semaphore Park,,
Semaphore South,,
Senior,,
Seppeltsfield,South Australia,Barossa - Yorke - Mid North
Sevenhill,South Australia,Barossa - Yorke - Mid North
Shaugh,,
Shea-Oak Log,,
Sheaoak Flat,,
Sheidow Park,South Australia,Adelaide - South
Sheringa,,
Sherlock (SA),South Australia,South Australia - South East
Sherwood (SA),South Australia,South Australia - South East
Short,South Australia,South Australia - South East
Silverton (SA),South Australia,South Australia - South East
Skye (SA),South Australia,Adelaide - Central and Hills
Sleaford,,
Smithfield (SA),South Australia,Adelaide - North
Smithfield Plains,South Australia,Adelaide - North
Smoky Bay,,
Snowtown,South Australia,Barossa - Yorke - Mid North
Solomon,South Australia,South Australia - Outback
Solomontown,,
Somerton Park,,
South Brighton,,
South Hummocks,South Australia,Barossa - Yorke - Mid North
South Kilkerran,South Australia,Barossa - Yorke - Mid North
South Plympton,,
Southend,,
Spalding (SA),South Australia,Barossa - Yorke - Mid North
Spectacle Lake,South Australia,South Australia - South East
Spence (SA),South Australia,South Australia - South East
Spring Farm (SA),South Australia,Barossa - Yorke - Mid North
Spring Gully (SA),South Australia,Barossa - Yorke - Mid North
Springfield (SA),South Australia,Adelaide - South
Springton,,
Square Mile,South Australia,South Australia - South East
St Agnes (SA),South Australia,Adelaide - North
St Clair (SA),South Australia,Adelaide - West
St Georges,South Australia,Adelaide - Central and Hills
St Ives (SA),,
St Johns,South Australia,Barossa - Yorke - Mid North
St Kilda (SA),,
St Kitts,,
St Marys (SA),South Australia,Adelaide - South
St Morris,South Australia,Adelaide - Central and Hills
St Peters (SA),South Australia,Adelaide - Central and Hills
Stanley (SA),South Australia,Barossa - Yorke - Mid North
Stanley Flat,South Australia,Barossa - Yorke - Mid North
Stansbury,,
Steelton,South Australia,Barossa - Yorke - Mid North
Steinfeld,,
Stephenston,,
Stepney,South Australia,Adelaide - Central and Hills
Stewart Range,South Australia,South Australia - South East
Stirling (SA),South Australia,Adelaide - Central and Hills
Stirling North,South Australia,South Australia - Outback
Stockport,South Australia,Barossa - Yorke - Mid North
Stockwell,South Australia,Barossa - Yorke - Mid North
Stockyard Creek (SA),South Australia,Barossa - Yorke - Mid North
Stockyard Plain,South Australia,South Australia - South East
Stokes Bay,,
Stone Hut,South Australia,Barossa - Yorke - Mid North
Stone Well,South Australia,Barossa - Yorke - Mid North
Stonyfell,South Australia,Adelaide - Central and Hills
Stow,South Australia,Barossa - Yorke - Mid North
Strathalbyn (SA),South Australia,South Australia - South East
Streaky Bay,,
Struan,South Australia,South Australia - South East
Stuart (SA),,
Stuarts Creek,South Australia,South Australia - Outback
Stun'Sail Boom,,
Sturt (SA),South Australia,Adelaide - South
Sturt Vale,,
Sultana Point,,
Summertown,South Australia,Adelaide - Central and Hills
Sunlands,South Australia,South Australia - South East
Sunnybrae,South Australia,Barossa - Yorke - Mid North
Sunnydale,South Australia,South Australia - South East
Sunnyside (SA),South Australia,South Australia - South East
Sunnyvale,South Australia,Barossa - Yorke - Mid North
Surrey Downs,South Australia,Adelaide - North
Sutherlands,South Australia,Barossa - Yorke - Mid North
Suttontown,South Australia,South Australia - South East
Swan Reach (SA),South Australia,South Australia - South East
Swanport,South Australia,South Australia - South East
Swede Flat,South Australia,South Australia - South East
Tailem Bend,South Australia,South Australia - South East
Taldra,,
Talia,,
Tantanoola,South Australia,South Australia - South East
Tanunda,South Australia,Barossa - Yorke - Mid North
Taperoo,,
Taplan,,
Taratap,South Australia,South Australia - South East
Tarcoola,South Australia,South Australia - Outback
Tarcowie,South Australia,Barossa - Yorke - Mid North
Tarlee,South Australia,Barossa - Yorke - Mid North
Tarnma,South Australia,Barossa - Yorke - Mid North
Tarpeena,South Australia,South Australia - South East
Tatachilla,South Australia,Adelaide - South
Taunton (SA),South Australia,Barossa - Yorke - Mid North
Taylorville,South Australia,South Australia - South East
Tea Tree Gully,,
Teal Flat,South Australia,South Australia - South East
Telowie,South Australia,Barossa - Yorke - Mid North
Templers,,
Tennyson (SA),,
Tepko,South Australia,South Australia - South East
Teringie,South Australia,Adelaide - Central and Hills
Terowie,South Australia,Barossa - Yorke - Mid North
The Gap (SA),South Australia,South Australia - South East
The Pines (SA),,
The Range (SA),,
Thebarton,,
Thevenard,,
Thomas Plain,South Australia,Barossa - Yorke - Mid North
Thompson Beach,,
Thorngate,South Australia,Adelaide - Central and Hills
Thornlea,South Australia,South Australia - South East
Thrington,South Australia,Barossa - Yorke - Mid North
Tiatukia,,
Tickera,,
Tiddy Widdy Beach,,
Tieyon,,
Tilley Swamp,South Australia,South Australia - South East
Tintinara,South Australia,South Australia - South East
Tolderol,South Australia,South Australia - South East
Tonsley,South Australia,Adelaide - South
Tooligie,South Australia,South Australia - Outback
Tooperang,South Australia,South Australia - South East
Toora (SA),South Australia,South Australia - South East
Toorak Gardens,South Australia,Adelaide - Central and Hills
Tootenilla,South Australia,South Australia - Outback
Torrens Island,,
Torrens Park,South Australia,Adelaide - South
Torrens Vale,South Australia,South Australia - South East
Torrensville,South Australia,Adelaide - West
Tothill Belt,South Australia,Barossa - Yorke - Mid North
Tothill Creek,South Australia,Barossa - Yorke - Mid North
Totness,South Australia,Adelaide - Central and Hills
Towitta,South Australia,South Australia - South East
Tranmere (SA),South Australia,Adelaide - Central and Hills
Trinity Gardens,South Australia,Adelaide - Central and Hills
Trott Park,South Australia,Adelaide - South
Truro,,
Tulka,,
Tumby Bay,,
Tungkillo,,
Tunkalilla,,
Tusmore,South Australia,Adelaide - Central and Hills
Two Wells,,
Tyringa,,
Ucolta,South Australia,Barossa - Yorke - Mid North
Uley,,
Uleybury,South Australia,Adelaide - North
Ulooloo,South Australia,Barossa - Yorke - Mid North
Ulyerra,South Australia,South Australia - Outback
Undalya,South Australia,Barossa - Yorke - Mid North
Underdale,South Australia,Adelaide - West
Ungarra,South Australia,South Australia - Outback
Unley,South Australia,Adelaide - Central and Hills
Unley Park,,
Uno,South Australia,South Australia - Outback
Upper Hermitage,,
Upper Sturt,,
Uraidla,South Australia,Adelaide - Central and Hills
Urania,South Australia,Barossa - Yorke - Mid North
Urrbrae,,
Uworra,South Australia,South Australia - Outback
Vale Park,,
Valley View,South Australia,Adelaide - North
Veitch,South Australia,South Australia - South East
Venus Bay (SA),,
Verdun,South Australia,Adelaide - Central and Hills
Verran,South Australia,South Australia - Outback
Victor Harbor,,
Vine Vale,South Australia,Barossa - Yorke - Mid North
Virginia (SA),South Australia,Adelaide - North
Vista,South Australia,Adelaide - North
Vivonne Bay,,
Waddikee,South Australia,South Australia - Outback
Waikerie,South Australia,South Australia - South East
Waitpinga,,
Walker Flat,South Australia,South Australia - South East
Walkerville (SA),,
Walkley Heights,South Australia,Adelaide - North
Wall Flat,South Australia,South Australia - South East
Wallala,South Australia,South Australia - Outback
Wallaroo (SA),,
Wallaroo Mines,South Australia,Barossa - Yorke - Mid North
Wallaroo Plain,,
Walloway,South Australia,Barossa - Yorke - Mid North
Waltowa,South Australia,South Australia - South East
Wami Kata,,
Wanbi,South Australia,South Australia - South East
Wandana (SA),South Australia,South Australia - Outback
Wandearah East,South Australia,Barossa - Yorke - Mid North
Wandearah West,,
Wandilo,South Australia,South Australia - South East
Wangary,,
Wangolina,,
Wanilla,South Australia,South Australia - Outback
Wappilka,South Australia,South Australia - South East
Warburto,,
Ward Belt,,
Ward Hill,,
Warnertown,South Australia,Barossa - Yorke - Mid North
Warnes,,
Warooka,,
Warradale,South Australia,Adelaide - South
Warramboo,South Australia,South Australia - Outback
Washpool (SA),South Australia,Barossa - Yorke - Mid North
Wasleys,,
Watarru,South Australia,South Australia - Outback
Watchman,South Australia,Barossa - Yorke - Mid North
Waterfall Gully,South Australia,Adelaide - Central and Hills
Waterloo (SA),South Australia,Barossa - Yorke - Mid North
Waterloo Corner,South Australia,Adelaide - North
Watervale,South Australia,Barossa - Yorke - Mid North
Watraba,South Australia,South Australia - Outback
Wattle Flat (SA),South Australia,South Australia - South East
Wattle Park,South Australia,Adelaide - Central and Hills
Wattle Range,South Australia,South Australia - South East
Wattle Range East,South Australia,South Australia - South East
Wauraltee,,
Wayville,,
Webb Beach,,
Wedge Island (SA),,
Weeroona Island,,
Weetulta,South Australia,Barossa - Yorke - Mid North
Welland,South Australia,Adelaide - West
Wellington (SA),South Australia,South Australia - South East
Wellington East,South Australia,South Australia - South East
Wepar,South Australia,South Australia - South East
West Beach (SA),,
West Bundaleer,South Australia,Barossa - Yorke - Mid North
West Croydon,South Australia,Adelaide - West
West Hindmarsh,South Australia,Adelaide - West
West Lakes,South Australia,Adelaide - West
West Lakes Shore,,
West Range,,
West Richmond,South Australia,Adelaide - West
Westall,,
Westbourne Park,South Australia,Adelaide - South
Western Flat,South Australia,South Australia - South East
Western River,,
Wharminda,South Australia,South Australia - Outback
White Hill,South Australia,South Australia - South East
White Hut,,
White Sands,South Australia,South Australia - South East
White Well Corner,South Australia,South Australia - Outback
Whites Flat,South Australia,South Australia - Outback
Whites River,,
Whites Valley,South Australia,Adelaide - South
Whitwarta,South Australia,Barossa - Yorke - Mid North
Whyalla,,
Whyalla Barson,,
Whyalla Jenkins,South Australia,South Australia - Outback
Whyalla Norrie,South Australia,South Australia - Outback
Whyalla Playford,South Australia,South Australia - Outback
Whyalla Stuart,South Australia,South Australia - Outback
Whyte Yarcowie,South Australia,Barossa - Yorke - Mid North
Wigley Flat,South Australia,South Australia - South East
Wilcherry,South Australia,South Australia - Outback
Wild Dog Valley (SA),South Australia,South Australia - South East
Wild Horse Plains,,
Wilgena,South Australia,South Australia - Outback
Willalo,South Australia,Barossa - Yorke - Mid North
Willalooka,South Australia,South Australia - South East
Willamulka,South Australia,Barossa - Yorke - Mid North
Willaston,South Australia,Adelaide - North
William Creek,South Australia,South Australia - Outback
Williamstown (SA),,
Willippa,,
Willochra,South Australia,South Australia - Outback
Willoughby (SA),,
Willow Creek,South Australia,South Australia - South East
Willow Springs,South Australia,South Australia - Outback
Willowie,South Australia,Barossa - Yorke - Mid North
Willson River,,
Willunga,,
Willunga Hill,,
Willunga South,,
Willyaroo,South Australia,South Australia - South East
Wilmington,,
Windsor (SA),,
Windsor Gardens,,
Wingfield,,
Winkie,South Australia,South Australia - South East
Winninowie,,
Winulta,South Australia,Barossa - Yorke - Mid North
Wirrabara,South Australia,Barossa - Yorke - Mid North
Wirraminna,South Australia,South Australia - Outback
Wirrega,South Australia,South Australia - South East
Wirrina Cove,,
Wirrulla,South Australia,South Australia - Outback
Wisanger,,
Wistow,,
Witera,,
Wokurna,South Australia,Barossa - Yorke - Mid North
Wolseley,,
Wombats Rest,South Australia,South Australia - South East
Wongulla,South Australia,South Australia - South East
Wongyarra,South Australia,Barossa - Yorke - Mid North
Wonna,South Australia,Barossa - Yorke - Mid North
Wonuarra,,
Woodchester,South Australia,South Australia - South East
Woodcroft (SA),South Australia,Adelaide - South
Woodforde,South Australia,Adelaide - Central and Hills
Woodlane,South Australia,South Australia - South East
Woodleigh (SA),South Australia,South Australia - South East
Woods Point (SA),South Australia,South Australia - South East
Woodside (SA),South Australia,Adelaide - Central and Hills
Woodville (SA),South Australia,Adelaide - West
Woodville Gardens,South Australia,Adelaide - West
Woodville North,South Australia,Adelaide - West
Woodville Park,South Australia,Adelaide - West
Woodville South,South Australia,Adelaide - West
Woodville West,South Australia,Adelaide - West
Wool Bay,,
Woolpunda,South Australia,South Australia - South East
Woolshed Flat (SA),South Australia,Barossa - Yorke - Mid North
Woolsheds,South Australia,Barossa - Yorke - Mid North
Woolumbool,South Australia,South Australia - South East
Woolundunga,,
Woomera,South Australia,South Australia - Outback
Worlds End (SA),South Australia,Barossa - Yorke - Mid North
Worrolong,South Australia,South Australia - South East
Wrattonbully,,
Wudinna,South Australia,South Australia - Outback
Wunkar,South Australia,South Australia - South East
Wye,,
Wynarka,South Australia,South Australia - South East
Wynn Vale,South Australia,Adelaide - North
Wyomi,,
Yacka,South Australia,Barossa - Yorke - Mid North
Yadlamalka,South Australia,South Australia - Outback
Yahl,South Australia,South Australia - South East
Yalanda,South Australia,South Australia - Outback
Yalata,,
Yallunda Flat,South Australia,South Australia - Outback
Yalpara,,
Yamba (SA),South Australia,South Australia - South East
Yanerbie,,
Yaninee,South Australia,South Australia - Outback
Yankalilla,South Australia,South Australia - South East
Yantanabie,South Australia,South Australia - Outback
Yanyarrie,,
Yardea,South Australia,South Australia - Outback
Yarrah,South Australia,South Australia - Outback
Yatala Vale,South Australia,Adelaide - North
Yatina,South Australia,Barossa - Yorke - Mid North
Yattalunga (SA),,
Yeelanna,South Australia,South Australia - Outback
Yellabinna,South Australia,South Australia - Outback
Yelta (SA),South Australia,Barossa - Yorke - Mid North
Yinkanie,South Australia,South Australia - South East
Yongala,South Australia,Barossa - Yorke - Mid North
Yorke Valley,South Australia,Barossa - Yorke - Mid North
Yorketown,South Australia,Barossa - Yorke - Mid North
Younghusband,South Australia,South Australia - South East
Younghusband Holdings,South Australia,South Australia - South East
Yumali,South Australia,South Australia - South East
Yumbarra,South Australia,South Australia - Outback
Yundi,South Australia,South Australia - South East
Yunta,,
Zadows Landing,South Australia,South Australia - South East
No usual address (SA),,
Migratory - Offshore - Shipping (SA),,
Abba River,Western Australia,Bunbury
Abbey,,
Acton Park (WA),Western Australia,Bunbury
Adamsvale,Western Australia,Western Australia - Wheat Belt
Ajana,Western Australia,Western Australia - Outback (South)
Albany,,
Aldersyde,Western Australia,Western Australia - Wheat Belt
Alexander Heights,,
Alexandra Bridge,Western Australia,Bunbury
Alfred Cove,,
Alkimos,,
Allanooka,Western Australia,Western Australia - Outback (South)
Allanson,Western Australia,Bunbury
Alma (WA),Western Australia,Western Australia - Outback (South)
Ambania,Western Australia,Western Australia - Outback (South)
Ambergate,Western Australia,Bunbury
Amelup,Western Australia,Western Australia - Wheat Belt
Angelo River,,
Anketell,,
Anniebrook,,
Antonymyre,,
Applecross,,
Ardath,Western Australia,Western Australia - Wheat Belt
Ardross,Western Australia,Perth - South West
Argyle (WA),Western Australia,Bunbury
Armadale (WA),Western Australia,Perth - South East
Arrino,Western Australia,Western Australia - Outback (South)
Arrowsmith,,
Arrowsmith East,Western Australia,Western Australia - Outback (South)
Arthur River (WA),Western Australia,Western Australia - Wheat Belt
Ascot (WA),,
Ashby (WA),Western Australia,Perth - North West
Ashendon,,
Ashfield (WA),,
Attadale,,
Atwell,Western Australia,Perth - South West
Aubin Grove,Western Australia,Perth - South West
Augusta,,
Australind,Western Australia,Bunbury
Aveley,Western Australia,Perth - North East
Avon Valley National Park,,
Baandee,Western Australia,Western Australia - Wheat Belt
Babakin,Western Australia,Western Australia - Wheat Belt
Babbage Island,,
Badgebup,Western Australia,Western Australia - Wheat Belt
Badgerin Rock,Western Australia,Western Australia - Wheat Belt
Badgin,Western Australia,Western Australia - Wheat Belt
Badgingarra,Western Australia,Western Australia - Wheat Belt
Badjaling,Western Australia,Western Australia - Wheat Belt
Bailup,,
Bakers Hill,Western Australia,Western Australia - Wheat Belt
Balbarrup,Western Australia,Bunbury
Balcatta,Western Australia,Perth - North West
Baldivis,,
Balga,Western Australia,Perth - North West
Balingup,Western Australia,Bunbury
Balkuling,Western Australia,Western Australia - Wheat Belt
Balla Balla,,
Balladong,Western Australia,Western Australia - Wheat Belt
Balladonia,,
Ballajura,,
Ballaying,Western Australia,Western Australia - Wheat Belt
Ballidu,Western Australia,Western Australia - Wheat Belt
Bally Bally,Western Australia,Western Australia - Wheat Belt
Bambun,Western Australia,Western Australia - Wheat Belt
Bandy Creek,,
Bandya,Western Australia,Western Australia - Outback (South)
Banjup,,
Banksia Grove,Western Australia,Perth - North West
Banksiadale,,
Bannister (WA),Western Australia,Western Australia - Wheat Belt
Barbalin,Western Australia,Western Australia - Wheat Belt
Barberton,Western Australia,Western Australia - Wheat Belt
Barrabup,Western Australia,Bunbury
Barragup,Western Australia,Mandurah
Barrow Island,,
Baskerville,Western Australia,Perth - North East
Bassendean (WA),,
Bateman,Western Australia,Perth - South West
Baudin,Western Australia,Bunbury
Baynton (WA),Western Australia,Western Australia - Outback (North)
Bayonet Head,,
Bayswater (WA),,
Beachlands,,
Beacon,Western Australia,Western Australia - Wheat Belt
Beaconsfield (WA),Western Australia,Perth - South West
Beadell,,
Beaufort River,Western Australia,Western Australia - Wheat Belt
Beaumont (WA),Western Australia,Western Australia - Outback (South)
Beckenham,Western Australia,Perth - South East
Bedford,,
Bedfordale,Western Australia,Perth - South East
Beechboro,Western Australia,Perth - North East
Beechina,Western Australia,Perth - North East
Beedelup,Western Australia,Bunbury
Beela,Western Australia,Bunbury
Beelerup,Western Australia,Bunbury
Beeliar,Western Australia,Perth - South West
Beenong,Western Australia,Western Australia - Wheat Belt
Beermullah,Western Australia,Western Australia - Wheat Belt
Bejoording,Western Australia,Western Australia - Wheat Belt
Beldon,Western Australia,Perth - North West
Belhus,Western Australia,Perth - North East
Bellevue (WA),Western Australia,Perth - North East
Belmont (WA),,
Bencubbin,Western Australia,Western Australia - Wheat Belt
Benger,Western Australia,Bunbury
Benjaberring,Western Australia,Western Australia - Wheat Belt
Benjinup,Western Australia,Bunbury
Bennett Springs,Western Australia,Perth - North East
Bentley (WA),Western Australia,Perth - South East
Beresford,,
Berkshire Valley,Western Australia,Western Australia - Wheat Belt
Bernier Island,,
Bertram,Western Australia,Perth - South West
Beverley (WA),Western Australia,Western Australia - Wheat Belt
Bibra Lake,Western Australia,Perth - South West
Bickley,Western Australia,Perth - South East
Bicton,,
Biddelia,Western Australia,Bunbury
Big Grove,,
Bilbarin,Western Australia,Western Australia - Wheat Belt
Bilingurr,,
Bimbijy,,
Bindi Bindi,Western Australia,Western Australia - Wheat Belt
Bindoon,Western Australia,Western Australia - Wheat Belt
Bindoon Training Area,Western Australia,Western Australia - Wheat Belt
Binduli,Western Australia,Western Australia - Outback (South)
Binningup,,
Binnu,Western Australia,Western Australia - Outback (South)
Birchmont,,
Bluff Point,,
Blythewood,Western Australia,Mandurah
Boallia,Western Australia,Bunbury
Bobalong,Western Australia,Western Australia - Wheat Belt
Bodallin,Western Australia,Western Australia - Wheat Belt
Boddington,Western Australia,Western Australia - Wheat Belt
Boilup,Western Australia,Western Australia - Wheat Belt
Bokal,Western Australia,Western Australia - Wheat Belt
Bolgart,Western Australia,Western Australia - Wheat Belt
Bonnie Rock,Western Australia,Western Australia - Wheat Belt
Bonniefield,,
Boodarie,,
Boodarockin,Western Australia,Western Australia - Wheat Belt
Bookara,,
Boonanarring,Western Australia,Western Australia - Wheat Belt
Boorabbin,,
Booragoon,Western Australia,Perth - South West
Booralaming,Western Australia,Western Australia - Wheat Belt
Boorara,Western Australia,Western Australia - Outback (South)
Boorara Brook,Western Australia,Bunbury
Bootenal,Western Australia,Western Australia - Outback (South)
Boothendarra,,
Boranup,,
Borden,Western Australia,Western Australia - Wheat Belt
Borderdale,Western Australia,Western Australia - Wheat Belt
Bornholm,,
Boscabel,Western Australia,Western Australia - Wheat Belt
Boulder,Western Australia,Western Australia - Outback (South)
Boundain,Western Australia,Western Australia - Wheat Belt
Bouvard,,
Bovell,Western Australia,Bunbury
Bow Bridge,,
Bowelling,,
Bowes,,
Bowgada,Western Australia,Western Australia - Outback (South)
Boxwood Hill,,
Boya,Western Australia,Perth - North East
Boyanup,Western Australia,Bunbury
Boyatup,Western Australia,Western Australia - Outback (South)
Boyerine,Western Australia,Western Australia - Wheat Belt
Boyup Brook,Western Australia,Bunbury
Brabham,Western Australia,Perth - North East
Bramley,Western Australia,Bunbury
Brazier,Western Australia,Bunbury
Breera,Western Australia,Western Australia - Wheat Belt
Bremer Bay,,
Brentwood (WA),,
Breton Bay,,
Bridgetown,Western Australia,Bunbury
Brigadoon,Western Australia,Perth - North East
Bringo,Western Australia,Western Australia - Outback (South)
Broadwater (WA),,
Broadwood,Western Australia,Western Australia - Outback (South)
Brockman,,
Broke (WA),,
Brookdale (WA),Western Australia,Perth - South East
Brookhampton,Western Australia,Bunbury
Brookton,Western Australia,Western Australia - Wheat Belt
Broome,,
Broomehill East,Western Australia,Western Australia - Wheat Belt
Broomehill Village,Western Australia,Western Australia - Wheat Belt
Broomehill West,Western Australia,Western Australia - Wheat Belt
Brown Hill (WA),Western Australia,Western Australia - Outback (South)
Brown Range,Western Australia,Western Australia - Outback (South)
Bruce Rock,Western Australia,Western Australia - Wheat Belt
Brunswick (WA),Western Australia,Bunbury
Buckingham (WA),,
Buckland (WA),Western Australia,Western Australia - Wheat Belt
Bulgarra,,
Bull Creek (WA),,
Bullabulling,Western Australia,Western Australia - Outback (South)
Bullaring,Western Australia,Western Australia - Wheat Belt
Buller,,
Bullfinch,Western Australia,Western Australia - Wheat Belt
Bullock Hills,Western Australia,Western Australia - Wheat Belt
Bullsbrook,,
Bulong,Western Australia,Western Australia - Outback (South)
Bulyee,Western Australia,Western Australia - Wheat Belt
Bunbury (WA),,
Bundanoon (WA),Western Australia,Western Australia - Outback (South)
Buniche,Western Australia,Western Australia - Wheat Belt
Bunjil,,
Buntine,,
Burakin,Western Australia,Western Australia - Wheat Belt
Buraminya,Western Australia,Western Australia - Outback (South)
Burekup,Western Australia,Bunbury
Burges,Western Australia,Western Australia - Wheat Belt
Burlong,Western Australia,Western Australia - Wheat Belt
Burma Road,Western Australia,Western Australia - Outback (South)
Burns Beach,,
Burnside (WA),,
Burracoppin,Western Australia,Western Australia - Wheat Belt
Burran Rock,Western Australia,Western Australia - Wheat Belt
Burrup,,
Burswood,,
Bushmead,,
Busselton,,
Butler (WA),Western Australia,Perth - North West
Byford,Western Australia,Perth - South East
Cable Beach,,
Cadoux,Western Australia,Western Australia - Wheat Belt
Caiguna,,
Calingiri,Western Australia,Western Australia - Wheat Belt
Calista,Western Australia,Perth - South West
Caljie,Western Australia,Western Australia - Wheat Belt
Callcup,,
Camballin,Western Australia,Western Australia - Outback (North)
Cambridge Gulf,,
Camillo,Western Australia,Perth - South East
Cancanning,Western Australia,Western Australia - Wheat Belt
Cane,Western Australia,Western Australia - Outback (North)
Canna,Western Australia,Western Australia - Outback (South)
Canning Mills,Western Australia,Perth - South East
Canning Vale,,
Cannington,Western Australia,Perth - South East
Cape Arid,,
Cape Burney,,
Cape Le Grand,,
Cape Range National Park,,
Capel,Western Australia,Bunbury
Capel River,Western Australia,Bunbury
Capricorn,,
Caraban,,
Carabooda,Western Australia,Perth - North West
Carani,Western Australia,Western Australia - Wheat Belt
Carbla,,
Carbunup River,Western Australia,Bunbury
Cardiff (WA),,
Cardup,Western Australia,Perth - South East
Carey Park,Western Australia,Bunbury
Carine,Western Australia,Perth - North West
Carlisle,Western Australia,Perth - South East
Carlotta,Western Australia,Bunbury
Carmel,Western Australia,Perth - South East
Carnamah,Western Australia,Western Australia - Outback (South)
Carnarvon,,
Carrabin,Western Australia,Western Australia - Wheat Belt
Carramar (WA),Western Australia,Perth - North West
Carrolup,Western Australia,Western Australia - Wheat Belt
Cartmeticup,Western Australia,Western Australia - Wheat Belt
Cascade (WA),Western Australia,Western Australia - Outback (South)
Castletown,,
Casuarina (WA),,
Cataby,Western Australia,Western Australia - Wheat Belt
Catterick,Western Australia,Bunbury
Caversham,,
Centennial Park (WA),Western Australia,Western Australia - Wheat Belt
Cervantes,,
Chadwick,,
Champion Lakes,Western Australia,Perth - South East
Chandler (WA),Western Australia,Western Australia - Wheat Belt
Changerup,,
Channybearup,Western Australia,Bunbury
Chapman Hill,Western Australia,Bunbury
Charley Creek,Western Australia,Bunbury
Cherry Tree Pool,Western Australia,Western Australia - Wheat Belt
Cheynes,,
Chichester (WA),Western Australia,Western Australia - Outback (North)
Chidlow,Western Australia,Perth - North East
Chittering,Western Australia,Western Australia - Wheat Belt
Chowerup,,
Churchlands,,
City Beach,,
Clackline,Western Australia,Western Australia - Wheat Belt
Claremont (WA),,
Clarkson,Western Australia,Perth - North West
Cleary,Western Australia,Western Australia - Wheat Belt
Cleaverville,,
Clifton (WA),,
Cloverdale,Western Australia,Perth - South East
Coblinine,Western Australia,Western Australia - Wheat Belt
Coburn,Western Australia,Western Australia - Outback (South)
Cockburn Central,Western Australia,Perth - South West
Cocklebiddy,,
Codjatotine,Western Australia,Western Australia - Wheat Belt
Cold Harbour,Western Australia,Western Australia - Wheat Belt
Collanilling,Western Australia,Western Australia - Wheat Belt
College Grove,Western Australia,Bunbury
Collie (WA),Western Australia,Bunbury
Collie Burn,Western Australia,Bunbury
Collingwood Heights,,
Collingwood Park (WA),,
Collins,Western Australia,Bunbury
Commodine,Western Australia,Western Australia - Wheat Belt
Como (WA),,
Condingup,,
Connolly,Western Australia,Perth - North West
Contine,Western Australia,Western Australia - Wheat Belt
Coodanup,,
Coogee (WA),,
Cookernup,Western Australia,Bunbury
Cooladar Hill,Western Australia,Western Australia - Outback (South)
Coolbellup,Western Australia,Perth - South West
Coolbinia,,
Coolcalalaya,Western Australia,Western Australia - Outback (South)
Coolgardie (WA),Western Australia,Western Australia - Outback (South)
Cooljarloo,Western Australia,Western Australia - Wheat Belt
Cooloongup,Western Australia,Perth - South West
Coolup,,
Coomalbidgup,,
Coomberdale,Western Australia,Western Australia - Wheat Belt
Coonabidgee,Western Australia,Western Australia - Wheat Belt
Coondle,Western Australia,Western Australia - Wheat Belt
Coorow,Western Australia,Western Australia - Outback (South)
Cooya Pooya,Western Australia,Western Australia - Outback (North)
