suburb,state,latitude,longitude,index_right,id,name,additional,type,major_name,major_na_1,territoria,population,name_ascii,addition_1,major_na_2,territor_1,final_region,was_different
Hekerua Bay,Auckland,-36.779681326611694,175.02455671320044,115.0,8062.0,Hekerua Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Hekerua Bay,Hauraki Gulf,,Auckland,Auckland,False
Sugarloaf,Auckland,-36.17526066066488,175.1122338998369,116.0,4956.0,Sugarloaf,Hauraki Gulf,Island,,,Auckland,,Sugarloaf,Hauraki Gulf,,Auckland,Auckland,False
Shag Cove,Marlborough District,-41.12312489728718,173.87998523581498,117.0,7489.0,Shag Cove,"Pelorus Sound, Tawhitinui Reach",Coastal Bay,,,Marlborough District,,Shag Cove,"Pelorus Sound, Tawhitinui Reach",,Marlborough District,Marlborough District,False
Willsher Bay,Area outside Territorial Authority,-46.401147915813205,169.78672840393676,118.0,7881.0,Willsher Bay,,Coastal Bay,,,Area outside Territorial Authority,,Willsher Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Wainui Inlet,Tasman District,-40.81791175751653,172.94440347944757,119.0,7769.0,Wainui Inlet,"Wainui Bay, Golden Bay",Coastal Bay,,,Tasman District,,Wainui Inlet,"Wainui Bay, Golden Bay",,Tasman District,Tasman District,False
Awarua Bay,Invercargill City,-46.57823374964996,168.46914428790694,120.0,6611.0,Awarua Bay,,Coastal Bay,,,Invercargill City,,Awarua Bay,,,Invercargill City,Invercargill City,False
Garnet Rock,Southland District,-45.76129148986296,166.73231401709702,121.0,4316.0,Garnet Rock,Tamatea / Dusky Sound,Island,,,Southland District,,Garnet Rock,Tamatea / Dusky Sound,,Southland District,Southland District,False
Te Wakaapani,Marlborough District,-40.69185027819608,173.94914137605542,122.0,5013.0,Te Wakaapani,The Sisters,Island,Marlborough Sounds,Major Locality,Marlborough District,,Te Wakaapani,The Sisters,Marlborough Sounds,Marlborough District,Marlborough District,False
Fishermans Bay,Area outside Territorial Authority,-43.83374040587069,173.0950542080091,123.0,6810.0,Fishermans Bay,,Coastal Bay,,,Area outside Territorial Authority,,Fishermans Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Pūriri Bay,Marlborough District,-41.17518307218008,174.32284276554603,124.0,8581.0,Pūriri Bay,"Otanerau Bay, East Bay, Queen Charlotte Sound (Totaranui)",Coastal Bay,,,Marlborough District,,Puriri Bay,"Otanerau Bay, East Bay, Queen Charlotte Sound (Totaranui)",,Marlborough District,Marlborough District,False
Kapowai Bay,Marlborough District,-40.90267899577619,173.8419447449288,125.0,8092.0,Kapowai Bay,,Coastal Bay,,,Marlborough District,,Kapowai Bay,,,Marlborough District,Marlborough District,False
Te Arakoau Island,Wairoa District,-38.71629275336635,177.1653617038694,126.0,4992.0,Te Arakoau Island,Lake Waikareiti,Island,,,Wairoa District,,Te Arakoau Island,Lake Waikareiti,,Wairoa District,Wairoa District,False
Puriri Bay,Whangarei District,-35.36524532267539,174.35743305094616,127.0,7413.0,Puriri Bay,Whangaruru Harbour,Coastal Bay,,,Whangarei District,,Puriri Bay,Whangaruru Harbour,,Whangarei District,Whangarei District,False
Stead Bay,Area outside Territorial Authority,-35.95731509925054,174.6973398680044,128.0,8322.0,Stead Bay,,Coastal Bay,,,Area outside Territorial Authority,,Stead Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Otūmūtū,Rotorua District,-38.168529870118405,176.40023971594982,129.0,4770.0,Otūmūtū,Otumutu Island,Island,,,Rotorua District,,Otumutu,Otumutu Island,,Rotorua District,Rotorua District,False
Taurikura Bay,Whangarei District,-35.82845196134698,174.52613283911978,130.0,7593.0,Taurikura Bay,Bream Bay,Coastal Bay,,,Whangarei District,,Taurikura Bay,Bream Bay,,Whangarei District,Whangarei District,False
Wilson Bay,Area outside Territorial Authority,-36.88912776045456,175.42458535341683,131.0,7884.0,Wilson Bay,"Firth Of Thames, Hauraki Gulf",Coastal Bay,,,Area outside Territorial Authority,,Wilson Bay,"Firth Of Thames, Hauraki Gulf",,Area outside Territorial Authority,Area outside Territorial Authority,False
Waipapa Bay,Area outside Territorial Authority,-42.21126649909731,173.87647367921952,132.0,7776.0,Waipapa Bay,,Coastal Bay,,,Area outside Territorial Authority,,Waipapa Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Rene Cove,Marlborough District,-40.798332904496455,173.86727384822157,133.0,8280.0,Rene Cove,"South Arm, Port Hardy",Coastal Bay,,,Marlborough District,,Rene Cove,"South Arm, Port Hardy",,Marlborough District,Marlborough District,False
Entrance Island,Area outside Territorial Authority,-45.10215496954946,167.02245930445554,134.0,4289.0,Entrance Island,,Island,,,Area outside Territorial Authority,,Entrance Island,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Taiharuru Bay,Area outside Territorial Authority,-36.61309299667461,175.5665481155282,135.0,8334.0,Taiharuru Bay,,Coastal Bay,,,Area outside Territorial Authority,,Taiharuru Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
West Bay,Tasman District,-41.80560843826306,172.8279611641937,136.0,7823.0,West Bay,Lake Rotoiti,Inland Bay,,,Tasman District,,West Bay,Lake Rotoiti,,Tasman District,Tasman District,False
Curlew Island,Southland District,-45.78661026661504,166.61271912134345,137.0,4270.0,Curlew Island,Tamatea / Dusky Sound,Island,,,Southland District,,Curlew Island,Tamatea / Dusky Sound,,Southland District,Southland District,False
Otarawa Island,Whangarei District,-35.71466818362215,174.560759879667,138.0,4765.0,Otarawa Island,Ngunguru Bay,Island,,,Whangarei District,,Otarawa Island,Ngunguru Bay,,Whangarei District,Whangarei District,False
Cecil Peak,Queenstown-Lakes District,-45.15012413694664,168.6188329096154,139.0,4095.0,Cecil Peak,,Locality,Te Anau,Town,Queenstown-Lakes District,,Cecil Peak,,Te Anau,Queenstown-Lakes District,Queenstown-Lakes District,False
Okura Bay,Area outside Territorial Authority,-35.34929061356582,174.3753907295596,140.0,7236.0,Okura Bay,,Coastal Bay,,,Area outside Territorial Authority,,Okura Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Cow Island,Area outside Territorial Authority,-36.80541506525157,175.40185137051702,141.0,4262.0,Cow Island,Hauraki Gulf,Island,,,Area outside Territorial Authority,,Cow Island,Hauraki Gulf,,Area outside Territorial Authority,Area outside Territorial Authority,False
The Haystack / Moturaka,Marlborough District,-40.90676119749544,174.09157387805243,142.0,5021.0,The Haystack / Moturaka,"Chetwode Islands, Moturaka, The Haystack",Island,Marlborough Sounds,Major Locality,Marlborough District,,The Haystack / Moturaka,"Chetwode Islands, Moturaka, The Haystack",Marlborough Sounds,Marlborough District,Marlborough District,False
Allman Bay,Marlborough District,-40.783978851019015,173.87099714982983,143.0,7904.0,Allman Bay,"South Arm, Port Hardy",Coastal Bay,,,Marlborough District,,Allman Bay,"South Arm, Port Hardy",,Marlborough District,Marlborough District,False
Waikahoa Bay,Area outside Territorial Authority,-35.44123431680458,174.41043154795855,144.0,7753.0,Waikahoa Bay,Mimiwhangata Bay,Coastal Bay,,,Area outside Territorial Authority,,Waikahoa Bay,Mimiwhangata Bay,,Area outside Territorial Authority,Area outside Territorial Authority,False
The Amphitheatre,Area outside Territorial Authority,-43.88840692155032,172.98496349588518,145.0,7675.0,The Amphitheatre,,Coastal Bay,,,Area outside Territorial Authority,,The Amphitheatre,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Tawhi,Marlborough District,-40.912387934464704,173.7616044578729,146.0,4984.0,Tawhi,Paddock Rocks,Island,Marlborough Sounds,Major Locality,Marlborough District,,Tawhi,Paddock Rocks,Marlborough Sounds,Marlborough District,Marlborough District,False
Lake Ōmāpere,Far North District,-35.34752232791679,173.7933501058214,147.0,3417.0,Lake Ōmāpere,,Lake,,,Far North District,,Lake Omapere,,,Far North District,Far North District,False
Entry Island,Southland District,-45.74534519025789,166.50775916936195,148.0,4291.0,Entry Island,Tamatea / Dusky Sound,Island,,,Southland District,,Entry Island,Tamatea / Dusky Sound,,Southland District,Southland District,False
Pegasus Bay,Area outside Territorial Authority,-43.31402542068344,172.8753242069554,149.0,8624.0,Pegasus Bay,,Coastal Bay,,,Area outside Territorial Authority,,Pegasus Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Rosie Bay,Wairoa District,-38.78791952789902,177.12748013404507,150.0,7455.0,Rosie Bay,Lake Waikaremoana,Inland Bay,,,Wairoa District,,Rosie Bay,Lake Waikaremoana,,Wairoa District,Wairoa District,False
Tāhoro / Union Bay,Auckland,-36.986052499519815,174.47052461090684,151.0,7726.0,Tāhoro / Union Bay,,Coastal Bay,,,Auckland,,Tahoro / Union Bay,,,Auckland,Auckland,False
Canterbury Bight,Area outside Territorial Authority,-44.10776591224524,172.01378471057114,152.0,6689.0,Canterbury Bight,,Coastal Bay,,,Area outside Territorial Authority,,Canterbury Bight,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Matawhaura Bay,Rotorua District,-38.02453784375672,176.51588548083387,153.0,7124.0,Matawhaura Bay,Lake Rotoehu,Inland Bay,,,Rotorua District,,Matawhaura Bay,Lake Rotoehu,,Rotorua District,Rotorua District,False
Arran Island,Southland District,-45.16394026868356,167.62656361192893,154.0,6538.0,Arran Island,Middle Fiord,Island,,,Southland District,,Arran Island,Middle Fiord,,Southland District,Southland District,False
Motu Kauri Island,Far North District,-35.04240378331893,173.73003257292507,155.0,4521.0,Motu Kauri Island,Whangaroa Harbour,Island,,,Far North District,,Motu Kauri Island,Whangaroa Harbour,,Far North District,Far North District,False
Whitianga Harbour,Thames-Coromandel District,-36.8656510513884,175.69270704924438,156.0,7876.0,Whitianga Harbour,,Coastal Bay,,,Thames-Coromandel District,,Whitianga Harbour,,,Thames-Coromandel District,Thames-Coromandel District,False
Tow Rock,Area outside Territorial Authority,-45.91224950843918,170.64805275431326,157.0,5071.0,Tow Rock,,Island,,,Area outside Territorial Authority,,Tow Rock,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Secretary Island,Southland District,-45.23479104302675,166.93818871399165,158.0,6520.0,Secretary Island,,Island,,,Southland District,,Secretary Island,,,Southland District,Southland District,False
Hamilton Cove,Marlborough District,-40.985323607992925,173.9049217416844,159.0,6881.0,Hamilton Cove,"Waitātā Bay, Waitātā Reach",Coastal Bay,,,Marlborough District,,Hamilton Cove,"Waitata Bay, Waitata Reach",,Marlborough District,Marlborough District,False
Piwhane / Spirits Bay,Area outside Territorial Authority,-34.43707366003351,172.81819103781476,160.0,7528.0,Piwhane / Spirits Bay,"Piwhane Bay, Spirits Bay",Coastal Bay,,,Area outside Territorial Authority,,Piwhane / Spirits Bay,"Piwhane Bay, Spirits Bay",,Area outside Territorial Authority,Area outside Territorial Authority,False
Pakiaka Bay,Wairoa District,-38.736036521774885,177.0583609947317,161.0,7320.0,Pakiaka Bay,"Whanganui Inlet, Lake Waikaremoana",Inland Bay,,,Wairoa District,,Pakiaka Bay,"Whanganui Inlet, Lake Waikaremoana",,Wairoa District,Wairoa District,False
Christys Bay,Marlborough District,-41.245501824611885,173.98999315968388,162.0,6711.0,Christys Bay,Queen Charlotte Sound (Totaranui),Coastal Bay,,,Marlborough District,,Christys Bay,Queen Charlotte Sound (Totaranui),,Marlborough District,Marlborough District,False
Tiraora Bay,Marlborough District,-41.08512702784156,173.87240287606684,163.0,7686.0,Tiraora Bay,"North-west Bay, Pelorus Sound, Tawhitinui Reach",Coastal Bay,,,Marlborough District,,Tiraora Bay,"North-west Bay, Pelorus Sound, Tawhitinui Reach",,Marlborough District,Marlborough District,False
Blackwood Bay or Tahuahua Bay,Marlborough District,-41.21179818597697,174.09565415033327,164.0,6632.0,Blackwood Bay or Tahuahua Bay,"Queen Charlotte Sound (Totaranui), Tahuahua Bay",Coastal Bay,,,Marlborough District,,Blackwood Bay or Tahuahua Bay,"Queen Charlotte Sound (Totaranui), Tahuahua Bay",,Marlborough District,Marlborough District,False
Omaha Cove,Auckland,-36.290043612989926,174.8114422255815,165.0,7240.0,Omaha Cove,"Omaha Bay, Hauraki Gulf",Coastal Bay,,,Auckland,,Omaha Cove,"Omaha Bay, Hauraki Gulf",,Auckland,Auckland,False
Sandy Bay,Auckland,-36.778499168841805,175.0273139884409,166.0,8507.0,Sandy Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,Sandy Bay,Hauraki Gulf,,Auckland,Auckland,False
Bird Rock,Auckland,-35.90228733531041,175.10908393997084,167.0,4188.0,Bird Rock,Mokohinau Islands,Island,,,Auckland,,Bird Rock,Mokohinau Islands,,Auckland,Auckland,False
Pinnacle Rock,Area outside Territorial Authority,-42.448152705404986,173.58423070217097,168.0,4815.0,Pinnacle Rock,,Island,,,Area outside Territorial Authority,,Pinnacle Rock,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Oyster Bay,Area outside Territorial Authority,-47.0667963113245,168.15972144816715,169.0,8238.0,Oyster Bay,"Port Adventure, Oyster Cove",Coastal Bay,,,Area outside Territorial Authority,,Oyster Bay,"Port Adventure, Oyster Cove",,Area outside Territorial Authority,Area outside Territorial Authority,False
Te Awaroa / Long Sound,Southland District,-45.9894389274639,166.81102308581347,170.0,8129.0,Te Awaroa / Long Sound,,Coastal Bay,,,Southland District,,Te Awaroa / Long Sound,,,Southland District,Southland District,False
Apiti Bay,Wairoa District,-38.72632095817638,177.06182519747588,171.0,6594.0,Apiti Bay,"Whanganui Inlet, Lake Waikaremoana",Inland Bay,,,Wairoa District,,Apiti Bay,"Whanganui Inlet, Lake Waikaremoana",,Wairoa District,Wairoa District,False
Waikākaramea Bay,Marlborough District,-41.20144540397138,174.251190046267,172.0,8538.0,Waikākaramea Bay,Queen Charlotte Sound (Totaranui),Coastal Bay,,,Marlborough District,,Waikakaramea Bay,Queen Charlotte Sound (Totaranui),,Marlborough District,Marlborough District,False
McCallum Bay,Auckland,-36.91516703086546,175.16047738785187,173.0,8155.0,McCallum Bay,Hauraki Gulf,Coastal Bay,,,Auckland,,McCallum Bay,Hauraki Gulf,,Auckland,Auckland,False
Gardiner Gap,Auckland,-36.77175047801906,174.89289419788898,174.0,8047.0,Gardiner Gap,Hauraki Gulf,Coastal Bay,,,Auckland,,Gardiner Gap,Hauraki Gulf,,Auckland,Auckland,False
Kuranui Bay,Area outside Territorial Authority,-37.12187256611882,175.5228077163695,175.0,7036.0,Kuranui Bay,"Firth Of Thames, Hauraki Gulf",Coastal Bay,,,Area outside Territorial Authority,,Kuranui Bay,"Firth Of Thames, Hauraki Gulf",,Area outside Territorial Authority,Area outside Territorial Authority,False
Big Bay,Marlborough District,-41.01095148075403,173.7233013546948,176.0,6622.0,Big Bay,Taipare Bay,Coastal Bay,,,Marlborough District,,Big Bay,Taipare Bay,,Marlborough District,Marlborough District,False
Pataua Island,Ōpōtiki District,-38.03243953821431,177.14382275404856,177.0,4794.0,Pataua Island,,Island,,,Ōpōtiki District,,Pataua Island,,,Opotiki District,Ōpōtiki District,False
Haumai Bay,Marlborough District,-41.14476144961784,174.34627512029274,178.0,8060.0,Haumai Bay,"Onauku Bay, East Bay, Queen Charlotte Sound (Totaranui)",Coastal Bay,,,Marlborough District,,Haumai Bay,"Onauku Bay, East Bay, Queen Charlotte Sound (Totaranui)",,Marlborough District,Marlborough District,False
Monowai Lake,Southland District,-45.86760967892159,167.42489783492752,4655.0,6536.0,Fiordland National Park,"Cascade Creek, Cromarty, Hollyford, Port Craig, Te Oneroa, Waitutu",Conservation Land,Fiordland National Park,Major Locality,Southland District,105.0,Fiordland National Park,"Cascade Creek, Cromarty, Hollyford, Port Craig, Te Oneroa, Waitutu",Fiordland National Park,Southland District,Southland District,False
Otarawhata Island,Area outside Territorial Authority,-37.53302851926969,177.98317305948115,180.0,4766.0,Otarawhata Island,,Island,,,Area outside Territorial Authority,,Otarawhata Island,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Pohuenui,Marlborough District,-41.01222629746666,173.9769744737179,1054.0,7441.0,Richmond Bay,Waitātā Reach,Coastal Bay,,,Marlborough District,,Richmond Bay,Waitata Reach,,Marlborough District,Marlborough District,False
Punt Arm,Marlborough District,-40.86508303550438,173.8324425942772,182.0,8270.0,Punt Arm,Greville Harbour,Coastal Bay,,,Marlborough District,,Punt Arm,Greville Harbour,,Marlborough District,Marlborough District,False
Timore Island / Chimneys,Southland District,-47.138914654611135,167.51687932259165,183.0,5047.0,Timore Island / Chimneys,"Tītī / Muttonbird Islands, Chimneys, Timore Island",Island,,,Southland District,,Timore Island / Chimneys,"Titi / Muttonbird Islands, Chimneys, Timore Island",,Southland District,Southland District,False
Wilson Bay,Area outside Territorial Authority,-35.954245642793914,174.69637220446086,184.0,8424.0,Wilson Bay,,Coastal Bay,,,Area outside Territorial Authority,,Wilson Bay,,,Area outside Territorial Authority,Area outside Territorial Authority,False
Moores Bay,Auckland,-36.425352705665,174.8533074544691,185.0,8598.0,Moores Bay,"Bon Accord Harbour, Kawau Bay, Hauraki Gulf",Coastal Bay,,,Auckland,,Moores Bay,"Bon Accord Harbour, Kawau Bay, Hauraki Gulf",,Auckland,Auckland,False
Resolution Bay,Marlborough District,-41.12310673455598,174.22348662921758,186.0,8281.0,Resolution Bay,Queen Charlotte Sound (Totaranui),Coastal Bay,,,Marlborough District,,Resolution Bay,Queen Charlotte Sound (Totaranui),,Marlborough District,Marlborough District,False
