suburb,state,latitude,longitude,assigned_region
Durren Durren,NSW,-33.1819,151.3952,
Tacoma South,NSW,-33.293,151.4534,
Gwandalan,NSW,-33.1354,151.5829,
Moonee,NSW,-30.2057,153.1529,
Frazer Park,NSW,-33.1456,151.5011,
Tacoma,NSW,-33.2879,151.4624,
Wyee,NSW,-33.1825,151.488,
South Tacoma,NSW,-33.1456,151.5011,
Cedar Brush Creek,NSW,-33.1667,151.2833,
Rocky Point,NSW,-33.2934,151.4699,
Wyee Point,NSW,-33.1458,151.5078,
Ravensdale,NSW,-33.1744,151.3007,
Summerland Point,NSW,-33.1409,151.5656,
Mannering Park,NSW,-33.1581,151.5348,
Jilliby,NSW,-33.2261,151.4168,
Dooralong,NSW,-33.1833,151.35,
Wybung,NSW,-33.1456,151.5011,
Chain Valley Bay,NSW,-33.1724,151.5714,
Point Wolstoncroft,NSW,-33.1167,151.5868,
Alison,NSW,-33.2768,151.4021,
Crangan Bay,NSW,-33.1735,151.5882,
Lake Munmorah,NSW,-33.1972,151.5824,
Tuggerawong,NSW,-33.2804,151.4804,
Bushells Ridge,NSW,-33.21,151.4747,
Tuggerah,NSW,-33.3067,151.4288,
Martinsville,NSW,-33.0667,151.4167,
Woodberry,NSW,-32.7931,151.6769,
Tarro,NSW,-32.8,151.6667,
Stockrington,NSW,-32.8585,151.606,
Hexham,NSW,-32.8293,151.6844,
Chisholm,NSW,-32.819,151.6539,
Thornton,NSW,-32.7833,151.6333,
Beresfield,NSW,-32.8,151.65,
Lenaghan,NSW,-32.8417,151.6359,
Black Hill,NSW,-32.8377,151.6187,
Tomago,NSW,-32.827,151.7131,
Bassendean,NSW,-30.2607,151.5837,
Ben Lomond,NSW,-30.0167,151.6667,
Georges Creek,NSW,-30.7461,152.1945,
The Gulf,NSW,-29.3167,151.4833,
The Basin,NSW,-30.2607,151.5837,
Black Mountain,NSW,-30.3107,151.6582,
Glen Nevis,NSW,-30.2607,151.5837,
Green Hills,NSW,-32.9176,149.5836,
Tenterden,NSW,-30.1318,151.4346,
Glencoe,NSW,-29.9249,151.7223,
Bucca,NSW,-30.1574,153.0958,
Dairyville,NSW,-30.2667,152.9667,
Korora,NSW,-30.2462,153.1149,
Lower Bucca,NSW,-30.15,153.0833,
Sherwood,NSW,-31.0649,152.7288,
Coffs Harbour Plaza,NSW,-30.2818,153.0168,
Coffs Harbour Dc,NSW,-30.2818,153.0168,
